Program#,GM Bank (0),Special Bank (1),,,,,,,,,,
0,Piano,Soft Piano,,,,,,,,,,
1,Bright Piano,Reflection Piano,,,,,,,,,,
2,Electric Grand,Flange Piano,,,,,,,,,,
3,Honky Tonk Piano,Octopus Piano,,,,,,,,,,
4,Electric Piano 1,Flange Electric Piano,,,,,,,,,,
5,Electric Piano 2,Tremolo Electric Piano,,,,,,,,,,
6,Harpsichord,Chorus Harpsichord,,,,,,,,,,
7,Clavinet,Ondioline,,,,,,,,,,
8,Celesta,Curious Chime,,,,,,,,,,
9,Glockenspiel,Swirly Bell,,,,,,,,,,
10,Music Box,Echo Bell,,,,,,,,,,
11,Vibraphone,Vibraphone 2,,,,,,,,,,
12,Marimba,Soft Marimba,,,,,,,,,,
13,Xylophone,Percolator,,,,,,,,,,
14,Tubular Bell,Reverse Bell,,,,,,,,,,
15,Dulcimer,Percussive Piano,,,,,,,,,,
16,Hammond Organ,Rot. Speaker Organ 1,,,,,,,,,,
17,Perc Organ,Bright Perc Organ,,,,,,,,,,
18,Rock Organ,Growl Organ,,,,,,,,,,
19,Church Organ,Chorus Church Organ,,,,,,,,,,
20,Reed Organ,Sawteeth,,,,,,,,,,
21,Accordion,Expressive Accordion,,,,,,,,,,
22,Harmonica,Corny Harmonica,,,,,,,,,,
23,Tango Accordion,Squeeze Box,,,,,,,,,,
24,Nylon Str Guitar,Acoustic Bass Gtr,,,,,,,,,,
25,Steel String Guitar,Mute Guitar 2,,,,,,,,,,
26,Jazz Electric Gtr,Chorus Jazz Guitar,,,,,,,,,,
27,Clean Guitar,Tremolo Guitar,,,,,,,,,,
28,Muted Guitar,Echo Mute Bass,,,,,,,,,,
29,Overdrive Guitar,Grungey Guitar,,,,,,,,,,
30,Distortion Guitar,Flange Guitar,,,,,,,,,,
31,Guitar Harmonics,Flange Guitar Stab,,,,,,,,,,
32,Acoustic Bass,Dark Syn Bass,,,,,,,,,,
33,Fingered Bass,Jungle Bass,,,,,,,,,,
34,Picked Bass,Jungle Bass 2,,,,,,,,,,
35,Fretless Bass,Chorus Bass,,,,,,,,,,
36,Slap Bass 1,Synth Slap Bass,,,,,,,,,,
37,Slap Bass 2,Lowrider,,,,,,,,,,
38,Syn Bass 1,OB Bass,,,,,,,,,,
39,Syn Bass 2,OB Bass 2,,,,,,,,,,
40,Violin,Synth Violin,,,,,,,,,,
41,Viola,Robot Threat,,,,,,,,,,
42,Cello,Formula 1,,,,,,,,,,
43,Contrabass,Deep Bass Stab,,,,,,,,,,
44,Tremolo Strings,Trill Strings,,,,,,,,,,
45,Pizzicato Strings,Cello Stroke,,,,,,,,,,
46,Orchestral Harp,VibHarp,,,,,,,,,,
47,Timpani,Tuned Drum,,,,,,,,,,
48,Ensemble Strings,sfz Strings,,,,,,,,,,
49,Slow Strings,Moving Strings,,,,,,,,,,
50,Synth Strings 1,Heads of Space,,,,,,,,,,
51,Synth Strings 2,Slow Synth Strings,,,,,,,,,,
52,Choir Aahs,Slow Choir Aahs,,,,,,,,,,
53,Voice Oohs,Pulsing Voices,,,,,,,,,,
54,Syn Choir,Cloudscapes,,,,,,,,,,
55,Orchestra Hit,Hype Orch Hit,,,,,,,,,,
56,Trumpet,Accent Trumpet,,,,,,,,,,
57,Trombone,Accent Trombone,,,,,,,,,,
58,Tuba,Mellow Trombone,,,,,,,,,,
59,Muted Trumpet,Muted Trumpet 2,,,,,,,,,,
60,French Horn,French Horn Swell,,,,,,,,,,
61,Brass Ensemble,Brass Ensemble 2,,,,,,,,,,
62,Syn Brass 1,Syn Brass 3,,,,,,,,,,
63,Syn Brass 2,Syn Brass 4,,,,,,,,,,
64,Soprano Sax,Lyrical Sax,,,,,,,,,,
65,Alto Sax,Accent Sax,,,,,,,,,,
66,Tenor Sax,Slow Sax,,,,,,,,,,
67,Baritone Sax,Staccato Sax,,,,,,,,,,
68,Oboe,Lyrical Oboe,,,,,,,,,,
69,English Horn,Soft Lead Synth,,,,,,,,,,
70,Bassoon,Staccato Bassoon,,,,,,,,,,
71,Clarinet,Smooth Clarinet,,,,,,,,,,
72,Piccolo,Accent Piccolo,,,,,,,,,,
73,Flute,Lyrical Flute,,,,,,,,,,
74,Recorder,Mello Breath,,,,,,,,,,
75,Pan Flute,Peruvian,,,,,,,,,,
76,Bottle Blow,Breath Echoes,,,,,,,,,,
77,Shakuhachi,Apparition,,,,,,,,,,
78,Whistle,Humorous Whistle,,,,,,,,,,
79,Ocarina,Strobes,,,,,,,,,,
80,Syn Square Wave,Teletronic,,,,,,,,,,
81,Syn Saw Wave,5th Pulse,,,,,,,,,,
82,Syn Calliope,Moon Jelly,,,,,,,,,,
83,Syn Chiff,Ricochet Pad,,,,,,,,,,
84,Syn Charang,Rock Radiation,,,,,,,,,,
85,Syn Voice,Solo Vox 2,,,,,,,,,,
86,Syn Fifths Saw,5th Saw Drone,,,,,,,,,,
87,Syn Brass and Lead,Lead Synth 2,,,,,,,,,,
88,Fantasia,Fantasy Bells,,,,,,,,,,
89,Warm Pad,Slow Warm Pad,,,,,,,,,,
90,Polysynth,Polysynth 2,,,,,,,,,,
91,Space Vox,50's Sci-Fi,,,,,,,,,,
92,Bowed Glass,Watery Glass,,,,,,,,,,
93,Metal Pad,UFOs,,,,,,,,,,
94,Halo Pad,Soprano,,,,,,,,,,
95,Sweep Pad,Refractions,,,,,,,,,,
96,Ice Rain,Comet Tails,,,,,,,,,,
97,Soundtrack,Soundtrack 2,,,,,,,,,,
98,Crystal,Friendly Data,,,,,,,,,,
99,Atmosphere,Analog Sequence,,,,,,,,,,
100,Brightness,Luminous Voice,,,,,,,,,,
101,Goblins,Goblins 2,,,,,,,,,,
102,Echo Drops,Tick Blok,,,,,,,,,,
103,Sci Fi,Droplet,,,,,,,,,,
104,Sitar,Droplet 2,,,,,,,,,,
105,Banjo,Video Game 1,,,,,,,,,,
106,Shamisen,Video Game 2,,,,,,,,,,
107,Koto,Digi-Dodo,,,,,,,,,,
108,Kalimba,Fairy Godmother,,,,,,,,,,
109,Bag Pipe,Alarm,,,,,,,,,,
110,Fiddle,Hoverbug,,,,,,,,,,
111,Shanai,Crickets,,,,,,,,,,
112,Tinkle Bell,Beatnik,,,,,,,,,,
113,Agogo,Teletype,,,,,,,,,,
114,Steel Drums,Carriage Return,,,,,,,,,,
115,Woodblock,Typewriter Key,,,,,,,,,,
116,Taiko Drum,Cash Register,,,,,,,,,,
117,Melodic Tom,Thru Phone Chirp,,,,,,,,,,
118,Syn Drum,Whipped,,,,,,,,,,
119,Reverse Cymbal,Pop Click,,,,,,,,,,
120,Guitar Fret Noise,Metal Chirp,,,,,,,,,,
121,Breath Noise,Poing,,,,,,,,,,
122,Seashore,Metal Spray,,,,,,,,,,
123,Bird,FlyBy 1,,,,,,,,,,
124,Telephone,FlyBy 2,,,,,,,,,,
125,Helicopter,Cosmic Ray,,,,,,,,,,
126,Applause,SampHold,,,,,,,,,,
127,Gunshot,SampHold 2,,,,,,,,,,
